raw_class,instances,image_files,label_files,data1_instances,data1_image_files,data1_label_files,data2_instances,data2_image_files,data2_label_files,data3_instances,data3_image_files,data3_label_files,data4_instances,data4_image_files,data4_label_files,data5_instances,data5_image_files,data5_label_files,data6_std_instances,data6_std_image_files,data6_std_label_files,action,final_class,note
Pedal,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
TractionRodFlange,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
PrimaryAxleBoxRod,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
CommonBrakeCylinder,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
IndicatorPatch,14,7,7,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
Boot,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
TractionMotorWire,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
BrakePad_1,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,remap,BrakePad,
LockSpring_1,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,remap,LockSpring,
PhotoelectricSensor,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
WireRope,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hold,WireRope,
LockSping,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,remap,LockSpring,
Nozzle_1,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,remap,Nozzle,
VehicleNumberRecognitionDevice,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
ParkingBrakeSign,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
FuelGauge_1,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,remap,FuelGauge,
SandBoxBottom,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
PortableLighterSocket,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
WarehouseSocket,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
StoneSweeper_1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,remap,StoneSweeper,
VerticalStop,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
IronChain_1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,remap,IronChain,
Sweeper,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,remap,StoneSweeper,
Transform,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
CotternPin,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hold,CotternPin,
JunctionBox_1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,remap,JunctionBox,
RubberSleeve_1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,remap,RubberSleeve,
